OrderID,WarehouseID,ShipDate,DeliveryDate,DeliveryDays,OnTimeFlag,ReturnFlag,ReturnReason
ORD-00001,WH-North,2024-06-20,2024-06-24,6.0,0.0,1.0,Changed Mind
ORD-00002,WH-South,2024-11-26,2024-11-27,2.0,1.0,0.0,
ORD-00003,WH-East,2024-11-16,2024-11-23,10.0,0.0,0.0,
ORD-00004,WH-East,2024-05-22,2024-05-25,4.0,1.0,0.0,
ORD-00005,WH-North,2024-04-11,2024-04-15,6.0,0.0,0.0,
ORD-00006,WH-North,2024-06-13,2024-06-14,4.0,1.0,0.0,
ORD-00007,WH-East,2024-08-22,2024-08-23,2.0,1.0,1.0,Damaged
ORD-00008,WH-West,2024-04-26,2024-05-01,8.0,0.0,0.0,
ORD-00009,WH-South,2024-09-28,2024-10-02,5.0,1.0,0.0,
ORD-00010,WH-South,2024-06-11,2024-06-12,3.0,1.0,0.0,
ORD-00011,WH-East,2024-08-17,2024-08-20,5.0,1.0,0.0,
ORD-00012,WH-West,2024-06-23,2024-06-26,6.0,0.0,0.0,
ORD-00013,WH-East,2024-04-05,2024-04-06,4.0,1.0,0.0,
ORD-00014,WH-South,2024-12-27,2024-12-29,4.0,1.0,0.0,
ORD-00015,WH-South,2024-10-14,2024-10-15,2.0,1.0,1.0,Wrong Size
ORD-00016,WH-West,2024-02-03,2024-02-04,2.0,1.0,0.0,
ORD-00017,WH-South,2024-11-21,2024-11-23,4.0,1.0,0.0,
ORD-00018,WH-West,2024-07-27,2024-07-28,2.0,1.0,0.0,
ORD-00019,WH-East,2024-12-03,2024-12-08,6.0,0.0,0.0,
ORD-00020,WH-East,2024-11-05,2024-11-06,3.0,1.0,0.0,
ORD-00021,WH-North,2024-06-08,2024-06-13,7.0,0.0,0.0,
ORD-00022,WH-East,2024-01-06,2024-01-07,4.0,1.0,0.0,
ORD-00023,WH-South,2024-04-13,2024-04-20,10.0,0.0,0.0,
ORD-00024,WH-West,2024-08-27,2024-09-02,9.0,,0.0,
ORD-00025,WH-West,2024-09-28,2024-10-01,4.0,1.0,0.0,
ORD-00026,WH-South,2024-04-08,2024-04-15,9.0,0.0,0.0,
ORD-00027,WH-South,2024-02-26,2024-02-28,5.0,1.0,0.0,
ORD-00028,WH-West,2024-11-17,2024-11-20,4.0,1.0,0.0,
ORD-00029,WH-East,2024-12-20,2024-12-26,9.0,0.0,0.0,
ORD-00030,WH-North,2024-07-20,2024-07-26,7.0,0.0,0.0,
ORD-00031,WH-North,,2024-03-06,3.0,1.0,0.0,
ORD-00032,WH-West,2024-04-19,2024-04-21,3.0,1.0,0.0,
ORD-00033,WH-South,2024-01-09,2024-01-12,5.0,1.0,0.0,
ORD-00034,WH-North,2024-12-11,2024-12-12,3.0,1.0,0.0,
ORD-00035,WH-North,2024-02-23,2024-02-24,4.0,1.0,0.0,
ORD-00036,WH-West,2024-08-15,2024-08-21,,0.0,0.0,
ORD-00037,WH-West,2024-04-08,2024-04-13,8.0,0.0,0.0,
ORD-00038,WH-West,2024-08-05,2024-08-10,7.0,0.0,0.0,
ORD-00039,WH-West,2024-09-12,2024-09-18,7.0,0.0,0.0,
ORD-00040,WH-North,2024-11-28,2024-11-30,5.0,1.0,,
ORD-00041,WH-West,2024-04-01,,4.0,1.0,0.0,
ORD-00042,WH-North,2024-01-07,2024-01-10,6.0,0.0,0.0,
ORD-00043,WH-North,2024-02-08,2024-02-10,5.0,1.0,0.0,
ORD-00044,WH-North,2024-12-03,2024-12-08,7.0,0.0,0.0,
ORD-00045,WH-West,2024-11-30,2024-12-01,4.0,1.0,0.0,
ORD-00046,WH-East,2024-08-31,2024-09-05,8.0,0.0,0.0,
ORD-00047,WH-North,2024-09-01,2024-09-04,4.0,1.0,0.0,
ORD-00048,WH-South,2024-09-30,2024-10-01,2.0,1.0,0.0,
ORD-00049,WH-North,2024-03-21,2024-03-25,7.0,0.0,0.0,
ORD-00050,WH-East,2024-12-15,2024-12-18,6.0,0.0,1.0,Wrong Size
ORD-00051,WH-South,2024-06-14,,7.0,0.0,0.0,
ORD-00052,,2024-06-10,2024-06-17,8.0,0.0,0.0,
ORD-00053,WH-East,2024-07-05,2024-07-10,8.0,0.0,0.0,
ORD-00054,WH-North,2024-01-06,2024-01-10,5.0,1.0,,
ORD-00055,WH-South,2024-03-14,2024-03-16,3.0,1.0,,Not as Expected
ORD-00056,WH-East,2024-10-19,2024-10-22,6.0,0.0,0.0,
ORD-00057,WH-East,2024-02-18,,3.0,1.0,0.0,
ORD-00058,WH-East,2024-08-26,2024-08-27,3.0,1.0,0.0,
ORD-00059,WH-North,2024-04-06,2024-04-07,4.0,1.0,1.0,Defective
ORD-00060,WH-South,2024-06-25,2024-07-02,10.0,0.0,0.0,
ORD-00061,WH-South,2024-04-05,2024-04-06,2.0,1.0,0.0,
ORD-00062,WH-South,2024-05-14,2024-05-21,10.0,0.0,0.0,
ORD-00063,WH-North,2024-10-24,2024-10-27,4.0,,0.0,
ORD-00064,WH-East,2024-04-28,2024-05-04,8.0,0.0,0.0,
ORD-00065,WH-North,2024-08-16,2024-08-17,3.0,1.0,0.0,
ORD-00066,WH-East,2024-07-31,2024-08-07,9.0,0.0,0.0,
ORD-00067,WH-North,2024-09-06,2024-09-11,8.0,0.0,0.0,
ORD-00068,WH-North,2024-12-17,2024-12-19,3.0,1.0,0.0,
ORD-00069,WH-East,2024-10-23,2024-10-28,6.0,0.0,0.0,
ORD-00070,WH-West,2024-03-18,2024-03-23,8.0,0.0,0.0,
ORD-00071,WH-South,2024-01-31,2024-02-02,5.0,1.0,0.0,
ORD-00072,WH-East,2024-04-13,2024-04-14,4.0,1.0,0.0,
ORD-00073,WH-North,2024-08-12,2024-08-14,5.0,1.0,0.0,
ORD-00074,WH-North,2024-01-14,2024-01-18,7.0,0.0,0.0,
ORD-00075,WH-West,2024-07-17,2024-07-23,7.0,0.0,0.0,
ORD-00076,WH-South,2024-08-12,2024-08-14,4.0,1.0,0.0,
ORD-00077,WH-South,2024-05-19,2024-05-23,6.0,0.0,0.0,
ORD-00078,WH-West,2024-10-22,2024-10-23,4.0,1.0,0.0,
ORD-00079,WH-South,2024-02-05,2024-02-12,10.0,0.0,0.0,
ORD-00080,WH-East,2024-01-25,2024-01-27,3.0,1.0,0.0,
ORD-00081,WH-East,2024-10-25,2024-10-29,6.0,0.0,0.0,
ORD-00082,WH-North,2024-07-05,2024-07-10,8.0,0.0,,
ORD-00083,WH-West,2024-10-09,2024-10-13,7.0,0.0,0.0,
ORD-00084,WH-West,2024-06-22,2024-06-24,5.0,1.0,0.0,
ORD-00085,WH-East,2024-04-09,2024-04-14,6.0,0.0,1.0,Damaged
ORD-00086,WH-East,2024-11-27,2024-12-01,5.0,1.0,1.0,Defective
ORD-00087,WH-West,2024-11-30,2024-12-03,4.0,1.0,0.0,
ORD-00088,WH-West,2024-10-05,2024-10-12,9.0,0.0,1.0,Changed Mind
ORD-00089,WH-East,2024-04-28,2024-04-30,4.0,1.0,0.0,
ORD-00090,WH-South,2024-08-16,2024-08-19,5.0,1.0,0.0,
ORD-00091,WH-South,2024-05-26,2024-06-01,7.0,0.0,0.0,
ORD-00092,WH-West,2024-02-19,2024-02-21,5.0,1.0,,
ORD-00093,WH-North,2024-12-04,2024-12-10,9.0,0.0,0.0,
ORD-00094,WH-South,2024-02-23,2024-02-26,5.0,,0.0,
ORD-00095,WH-North,2024-12-05,2024-12-06,3.0,1.0,0.0,
ORD-00096,WH-East,2024-06-23,2024-06-25,3.0,1.0,0.0,
ORD-00097,WH-South,2024-03-28,2024-04-04,9.0,0.0,0.0,
ORD-00098,WH-East,2024-08-21,2024-08-23,5.0,1.0,0.0,
ORD-00099,WH-West,2024-11-11,2024-11-12,3.0,1.0,0.0,
ORD-00100,WH-West,2024-10-09,2024-10-10,4.0,1.0,0.0,
ORD-00101,WH-West,2024-11-25,2024-11-28,5.0,1.0,0.0,
ORD-00102,WH-South,2024-09-23,2024-09-26,5.0,1.0,1.0,Changed Mind
ORD-00103,WH-South,2024-10-26,2024-10-27,2.0,1.0,0.0,
ORD-00104,WH-South,2024-11-02,2024-11-09,8.0,0.0,0.0,
ORD-00105,WH-West,2024-04-23,2024-04-26,5.0,1.0,0.0,
ORD-00106,WH-North,2024-07-28,2024-08-01,5.0,1.0,0.0,
ORD-00107,WH-North,2024-03-12,2024-03-14,4.0,1.0,0.0,
ORD-00108,WH-South,2024-12-30,2025-01-04,8.0,0.0,0.0,
ORD-00109,WH-North,2024-12-07,2024-12-09,3.0,1.0,0.0,
ORD-00110,WH-North,2024-01-26,2024-01-29,6.0,,0.0,
ORD-00111,WH-North,2024-10-13,2024-10-15,3.0,1.0,0.0,
ORD-00112,WH-West,2024-12-05,2024-12-07,3.0,1.0,0.0,
ORD-00113,WH-South,2024-03-30,2024-04-04,7.0,0.0,0.0,
ORD-00114,WH-South,2024-08-16,2024-08-18,5.0,1.0,0.0,
ORD-00115,WH-West,2024-12-18,,3.0,1.0,0.0,
ORD-00116,WH-South,2024-02-01,2024-02-02,2.0,1.0,1.0,
ORD-00117,WH-South,2024-10-30,2024-11-01,5.0,1.0,0.0,
ORD-00118,WH-North,2024-04-10,2024-04-15,7.0,0.0,0.0,
ORD-00119,WH-East,2024-12-28,2025-01-02,7.0,0.0,0.0,
ORD-00120,WH-West,2024-12-21,2024-12-26,6.0,0.0,0.0,
ORD-00121,WH-West,2024-12-06,2024-12-08,5.0,1.0,0.0,
ORD-00122,WH-North,2024-07-13,2024-07-15,3.0,1.0,0.0,
ORD-00123,WH-East,2024-11-10,2024-11-16,9.0,0.0,1.0,Changed Mind
ORD-00124,WH-East,2024-11-14,2024-11-18,6.0,0.0,0.0,
ORD-00125,WH-West,2024-05-04,2024-05-06,4.0,1.0,0.0,
ORD-00126,WH-South,2024-11-26,2024-12-02,8.0,0.0,0.0,
ORD-00127,WH-East,2024-01-15,,3.0,1.0,0.0,
ORD-00128,WH-South,2024-08-23,2024-08-29,7.0,0.0,0.0,
ORD-00129,WH-West,2024-04-25,2024-04-28,5.0,1.0,0.0,
ORD-00130,WH-East,2024-02-06,2024-02-13,8.0,0.0,0.0,
ORD-00131,WH-South,2024-02-10,2024-02-16,7.0,0.0,0.0,
ORD-00132,WH-West,2024-10-22,2024-10-29,8.0,0.0,0.0,
ORD-00133,WH-South,2024-05-13,2024-05-20,9.0,0.0,0.0,
ORD-00134,WH-East,2024-10-07,2024-10-12,7.0,0.0,0.0,
ORD-00135,WH-East,2024-01-05,2024-01-12,9.0,0.0,0.0,
ORD-00136,WH-West,2024-05-30,2024-06-04,8.0,0.0,0.0,
ORD-00137,WH-South,2024-08-18,2024-08-25,8.0,,0.0,
ORD-00138,WH-East,2024-11-04,2024-11-06,4.0,1.0,0.0,
ORD-00139,WH-West,2024-05-27,2024-05-29,5.0,1.0,0.0,
ORD-00140,WH-East,2024-09-03,2024-09-08,7.0,0.0,0.0,
ORD-00141,WH-South,2024-11-08,,8.0,0.0,0.0,
ORD-00142,WH-North,2024-10-01,2024-10-02,2.0,,0.0,
ORD-00143,WH-East,2024-04-16,2024-04-22,8.0,0.0,0.0,
ORD-00144,WH-East,2024-01-06,2024-01-07,2.0,1.0,0.0,
ORD-00145,WH-North,2024-11-22,2024-11-29,10.0,0.0,0.0,
ORD-00146,WH-East,2024-01-30,2024-01-31,3.0,1.0,0.0,
ORD-00147,WH-North,2024-12-01,,5.0,1.0,0.0,
ORD-00148,WH-North,2024-08-03,2024-08-04,4.0,1.0,0.0,
ORD-00149,WH-West,2024-12-12,2024-12-15,4.0,1.0,0.0,
ORD-00150,WH-West,2024-11-26,2024-12-01,8.0,0.0,0.0,
ORD-00151,WH-West,2024-12-28,2024-12-30,5.0,1.0,0.0,
ORD-00152,WH-North,2024-05-03,2024-05-07,5.0,1.0,0.0,
ORD-00153,WH-North,2024-10-09,2024-10-11,3.0,1.0,1.0,Not as Expected
ORD-00154,WH-North,2024-06-11,2024-06-16,7.0,0.0,0.0,
ORD-00155,WH-North,2024-07-30,2024-08-05,9.0,0.0,0.0,
ORD-00156,WH-East,,2024-09-08,5.0,1.0,0.0,
ORD-00157,WH-North,2024-11-05,2024-11-10,8.0,0.0,0.0,
ORD-00158,WH-East,2024-12-09,2024-12-11,4.0,1.0,0.0,
