OrderID,ProductID,Quantity,UnitPrice,Discount
ORD-00001,PROD-012,3.0,2193.39,0.1
ORD-00002,PROD-050,2.0,2228.18,0.14
ORD-00002,PROD-021,1.0,444.56,0.01
ORD-00002,PROD-030,2.0,1458.47,0.12
ORD-00003,PROD-001,1.0,4713.31,0.15
ORD-00003,PROD-049,4.0,358.37,0.02
ORD-00003,PROD-007,2.0,5483.53,0.05
ORD-00004,PROD-022,5.0,1870.93,0.0
ORD-00005,PROD-015,4.0,447.57,0.11
ORD-00005,PROD-001,3.0,4713.31,0.14
ORD-00006,PROD-018,3.0,1330.11,0.02
ORD-00006,PROD-010,4.0,7853.25,0.02
ORD-00006,PROD-039,5.0,1736.04,0.16
ORD-00006,PROD-004,2.0,5465.79,0.1
ORD-00007,PROD-036,2.0,1412.12,0.06
ORD-00007,PROD-019,5.0,,
ORD-00008,PROD-029,1.0,895.64,0.04
ORD-00008,PROD-035,2.0,808.36,0.09
ORD-00008,PROD-042,5.0,1627.03,0.19
ORD-00008,PROD-002,1.0,2197.08,0.18
ORD-00009,PROD-028,5.0,1957.14,0.11
ORD-00009,PROD-012,4.0,2193.39,0.18
ORD-00009,PROD-011,2.0,627.06,0.07
ORD-00009,PROD-015,3.0,447.57,0.18
ORD-00010,PROD-033,5.0,1749.63,0.07
ORD-00010,PROD-047,4.0,328.6,0.15
ORD-00010,PROD-036,4.0,1412.12,0.0
ORD-00011,PROD-030,2.0,1458.47,0.09
ORD-00012,PROD-050,3.0,2228.18,0.07
ORD-00012,PROD-048,2.0,1918.99,
ORD-00012,PROD-033,1.0,1749.63,
ORD-00012,PROD-013,5.0,2493.12,0.15
ORD-00013,PROD-035,3.0,808.36,0.12
ORD-00013,PROD-021,1.0,444.56,0.02
ORD-00013,PROD-041,1.0,834.98,0.12
ORD-00013,PROD-010,4.0,7853.25,0.18
ORD-00014,PROD-035,5.0,808.36,0.1
ORD-00014,PROD-024,2.0,1358.39,0.16
ORD-00014,PROD-019,3.0,380.41,0.08
ORD-00014,PROD-034,5.0,1513.79,0.02
ORD-00015,PROD-023,1.0,1453.66,0.11
ORD-00015,PROD-003,4.0,2845.14,0.12
ORD-00016,PROD-022,3.0,1870.93,0.12
ORD-00016,PROD-018,4.0,1330.11,0.15
ORD-00016,PROD-011,4.0,627.06,0.15
ORD-00017,PROD-030,5.0,1458.47,0.08
ORD-00017,PROD-017,5.0,2275.72,0.17
ORD-00017,PROD-002,1.0,2197.08,0.2
ORD-00017,PROD-010,4.0,7853.25,0.13
ORD-00018,PROD-027,4.0,2195.93,0.05
ORD-00018,PROD-033,1.0,1749.63,0.15
ORD-00019,PROD-013,,2493.12,0.16
ORD-00020,PROD-030,4.0,1458.47,0.12
ORD-00021,PROD-022,1.0,1870.93,0.07
ORD-00022,PROD-032,3.0,2147.54,0.03
ORD-00022,PROD-035,3.0,808.36,0.18
ORD-00022,PROD-010,5.0,7853.25,0.1
ORD-00023,PROD-025,1.0,1531.21,
ORD-00023,PROD-011,5.0,627.06,0.19
ORD-00023,PROD-019,2.0,380.41,0.13
ORD-00024,PROD-013,3.0,2493.12,0.11
ORD-00024,PROD-036,1.0,1412.12,0.14
ORD-00025,PROD-029,4.0,895.64,0.18
ORD-00025,PROD-049,4.0,358.37,0.14
ORD-00026,PROD-040,1.0,1885.79,0.09
ORD-00027,PROD-014,1.0,959.11,0.04
ORD-00028,PROD-016,2.0,1238.94,0.14
ORD-00028,PROD-012,2.0,2193.39,
ORD-00028,PROD-022,4.0,1870.93,0.02
ORD-00029,PROD-038,1.0,1552.78,0.12
ORD-00029,PROD-026,4.0,526.56,0.03
ORD-00030,PROD-034,2.0,1513.79,0.06
ORD-00030,PROD-002,1.0,2197.08,0.11
ORD-00031,PROD-041,1.0,834.98,0.08
ORD-00032,PROD-048,4.0,1918.99,0.14
ORD-00032,PROD-028,5.0,1957.14,0.16
ORD-00032,PROD-047,3.0,328.6,0.07
ORD-00033,PROD-004,2.0,5465.79,0.12
ORD-00033,PROD-032,2.0,2147.54,0.19
ORD-00034,PROD-008,5.0,3320.58,0.12
ORD-00035,PROD-038,1.0,1552.78,0.18
ORD-00035,PROD-032,2.0,2147.54,0.14
ORD-00036,PROD-025,3.0,1531.21,0.14
ORD-00037,PROD-019,4.0,380.41,0.15
ORD-00038,PROD-008,3.0,3320.58,0.15
ORD-00038,PROD-010,2.0,7853.25,0.11
ORD-00039,PROD-039,4.0,1736.04,0.2
ORD-00039,PROD-014,2.0,959.11,0.04
ORD-00040,PROD-031,5.0,355.85,0.05
ORD-00040,PROD-009,1.0,5981.22,0.01
ORD-00040,PROD-007,3.0,5483.53,0.04
ORD-00041,PROD-009,5.0,5981.22,0.07
ORD-00041,PROD-026,2.0,526.56,0.15
ORD-00041,PROD-006,1.0,3868.84,0.06
ORD-00041,PROD-042,5.0,1627.03,0.08
ORD-00042,PROD-041,1.0,834.98,0.05
ORD-00042,PROD-038,4.0,1552.78,0.04
ORD-00042,PROD-018,1.0,1330.11,0.08
ORD-00043,PROD-041,4.0,834.98,0.17
ORD-00043,PROD-001,4.0,4713.31,0.2
ORD-00043,PROD-046,2.0,1012.78,0.15
ORD-00044,PROD-031,3.0,355.85,0.09
ORD-00045,PROD-046,5.0,1012.78,0.04
ORD-00045,PROD-049,5.0,358.37,0.15
