OrderID,CustomerID,OrderDate,Channel,Status
ORD-00001,CUST-0175,2024-06-18,Online,Returned
ORD-00002,CUST-0469,2024-11-25,Marketplace,Delivered
ORD-00003,CUST-0106,2024-11-13,Marketplace,Delivered
ORD-00004,CUST-0289,2024-05-21,Marketplace,Delivered
ORD-00005,CUST-0248,2024-04-09,InStore,Returned
ORD-00006,CUST-0323,2024-06-10,Online,Delivered
ORD-00007,CUST-0142,2024-08-21,Marketplace,Delivered
ORD-00008,CUST-0463,2024-04-23,Marketplace,Delivered
ORD-00009,CUST-0417,2024-09-27,Marketplace,Delivered
ORD-00010,CUST-0298,2024-06-09,Online,Delivered
ORD-00011,CUST-0470,2024-08-15,Online,Delivered
ORD-00012,CUST-0193,2024-06-20,InStore,Delivered
ORD-00013,CUST-0351,2024-04-02,Online,Returned
ORD-00014,CUST-0303,2024-12-25,InStore,Delivered
ORD-00015,CUST-0291,2024-10-13,Marketplace,Delivered
ORD-00016,CUST-0373,2024-02-02,Marketplace,Returned
ORD-00017,CUST-0468,2024-11-19,Marketplace,Delivered
ORD-00018,CUST-0416,2024-07-26,Marketplace,Returned
ORD-00019,CUST-0439,2024-12-02,Online,Delivered
ORD-00020,CUST-0438,2024-11-03,Marketplace,Delivered
ORD-00021,CUST-0332,2024-06-06,Marketplace,Delivered
ORD-00022,CUST-0435,2024-01-03,Online,Delivered
ORD-00023,CUST-0208,2024-04-10,Online,Returned
ORD-00024,CUST-0443,2024-08-24,Online,Delivered
ORD-00025,CUST-0456,2024-09-27,InStore,Delivered
ORD-00026,CUST-0248,2024-04-06,Online,Delivered
ORD-00027,CUST-0142,2024-02-23,Marketplace,Returned
ORD-00028,CUST-0402,2024-11-16,Online,Delivered
ORD-00029,CUST-0384,2024-12-17,Online,Returned
ORD-00030,CUST-0311,2024-07-19,Marketplace,Delivered
ORD-00031,CUST-0222,2024-03-03,Online,
ORD-00032,CUST-0225,2024-04-18,Marketplace,Delivered
ORD-00033,CUST-0354,2024-01-07,Marketplace,Delivered
ORD-00034,CUST-0184,2024-12-09,Marketplace,Delivered
ORD-00035,CUST-0364,2024-02-20,Online,Delivered
ORD-00036,CUST-0305,2024-08-12,InStore,Delivered
ORD-00037,CUST-0482,2024-04-05,Marketplace,Delivered
ORD-00038,CUST-0188,2024-08-03,InStore,Delivered
ORD-00039,CUST-0113,2024-09-11,Online,Delivered
ORD-00040,CUST-0181,2024-11-25,Marketplace,Delivered
ORD-00041,CUST-0199,2024-03-30,InStore,Delivered
ORD-00042,CUST-0390,2024-01-04,InStore,Delivered
ORD-00043,CUST-0070,2024-02-05,Online,Pending
ORD-00044,CUST-0086,2024-12-01,Online,Returned
ORD-00045,CUST-0392,2024-11-27,Online,Delivered
ORD-00046,CUST-0485,2024-08-28,Online,Delivered
ORD-00047,CUST-0399,2024-08-31,Online,Pending
ORD-00048,CUST-0410,2024-09-29,Online,Delivered
ORD-00049,CUST-0039,2024-03-18,InStore,Delivered
ORD-00050,CUST-0131,2024-12-12,Online,Delivered
ORD-00051,CUST-0441,2024-06-13,Marketplace,Delivered
ORD-00052,CUST-0010,2024-06-09,,Delivered
ORD-00053,CUST-0003,2024-07-02,Online,Pending
ORD-00054,CUST-0478,2024-01-05,Online,Delivered
ORD-00055,CUST-0302,2024-03-13,Online,Delivered
ORD-00056,CUST-0150,2024-10-16,Marketplace,Delivered
ORD-00057,CUST-0067,2024-02-16,InStore,Delivered
ORD-00058,CUST-0193,2024-08-24,Online,Delivered
ORD-00059,CUST-0097,2024-04-03,Online,Delivered
ORD-00060,CUST-0019,2024-06-22,Online,Delivered
ORD-00061,CUST-0484,2024-04-04,InStore,Pending
ORD-00062,CUST-0318,2024-05-11,Marketplace,Delivered
ORD-00063,CUST-0098,2024-10-23,Marketplace,Delivered
ORD-00064,CUST-0057,2024-04-26,Marketplace,Delivered
ORD-00065,CUST-0351,2024-08-14,Marketplace,Delivered
ORD-00066,CUST-0107,2024-07-29,Online,Delivered
ORD-00067,CUST-0088,2024-09-03,Online,Pending
